Rank,Algorithm Name,Task/Data,Metric 1,Metric 2,Metric 3
🏅 1,Algo 1,Task A,0.85,0.75,0.65
🏅 2,Algo 2,Task B,0.87,0.77,0.67
🏅 3,Algo 3,Task C,0.89,0.79,0.69
🏅 4,Algo 4,Task D,0.91,0.81,0.71
🏅 5,Algo 5,Task E,0.93,0.83,0.73
🏅 6,Algo 6,Task A,0.85,0.75,0.65
🏅 7,Algo 7,Task B,0.87,0.77,0.67
🏅 8,Algo 8,Task C,0.89,0.79,0.69
🏅 9,Algo 9,Task D,0.91,0.81,0.71
🏅 10,Algo 10,Task E,0.93,0.83,0.73
🏅 11,Algo 11,Task A,0.85,0.75,0.65
🏅 12,Algo 12,Task B,0.87,0.77,0.67
🏅 13,Algo 13,Task C,0.89,0.79,0.69
🏅 14,Algo 14,Task D,0.91,0.81,0.71
🏅 15,Algo 15,Task E,0.93,0.83,0.73
🏅 16,Algo 16,Task A,0.85,0.75,0.65
🏅 17,Algo 17,Task B,0.87,0.77,0.67
🏅 18,Algo 18,Task C,0.89,0.79,0.69
🏅 19,Algo 19,Task D,0.91,0.81,0.71
🏅 20,Algo 20,Task E,0.93,0.83,0.73
